file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,13125,2403,15528,0.00196875,0.0014418,0.00341055,regular
0034c25a-83aa-3fea-9996-6ddabb7e262d,4447,1282,5729,0.0006670500000000001,0.0007691999999999999,0.00143625,regular
00522cbc-33d7-7a65-a2e3-7c919b45266a,4562,1309,5871,0.0006843,0.0007854,0.0014697,regular
01106555-3417-b4e5-d829-980b957baa25,8152,1749,9901,0.0012227999999999998,0.0010493999999999998,0.0022721999999999994,regular
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,8445,2217,10662,0.0012667499999999999,0.0013302,0.0025969499999999998,regular
0152dfec-aaad-19aa-805c-537750ee0e61,8518,2091,10609,0.0012776999999999999,0.0012546,0.0025323,regular
015751f2-add7-cc5c-49e6-32fb75075388,4497,1360,5857,0.00067455,0.000816,0.00149055,regular
016171e8-feb5-6feb-7de9-113b42fd8059,3953,1307,5260,0.00059295,0.0007842,0.00137715,regular
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,8424,1881,10305,0.0012636,0.0011286,0.0023921999999999997,regular
018c735b-278a-7f93-7778-c90859b2b10d,4318,1032,5350,0.0006477,0.0006192,0.0012669,regular
018e29cd-2942-8472-37a7-a1a5b7d1c009,3998,1055,5053,0.0005997,0.000633,0.0012327,regular
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,8092,1661,9753,0.0012138,0.0009965999999999998,0.0022103999999999995,regular
019c6ed6-05b2-b831-a98b-de1379260fc4,8571,1457,10028,0.00128565,0.0008742,0.00215985,regular
01c660b6-378f-2f00-bdd3-97ac200c19e1,4754,1289,6043,0.0007131,0.0007733999999999999,0.0014865,regular
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,34409,5329,39738,0.00516135,0.0031974,0.00835875,regular
01e8b747-4832-fc9a-9859-46162eb14ecc,4372,1149,5521,0.0006558,0.0006894000000000001,0.0013452,regular
01f84c6c-f978-eb52-6e97-052a5227e394,4509,1244,5753,0.0006763499999999999,0.0007464,0.00142275,regular
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,9415,2075,11490,0.0014122499999999999,0.001245,0.00265725,regular
021cde41-0a9e-2efb-2704-b1d077d9d7cc,9269,2305,11574,0.0013903499999999998,0.0013830000000000001,0.00277335,regular
0249e048-a83d-c30b-358f-6f90ea73f7e6,8385,1644,10029,0.00125775,0.0009864,0.00224415,regular
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,4990,931,5921,0.0007484999999999999,0.0005585999999999999,0.0013070999999999998,regular
02ca2334-e1ac-7278-c624-1dd7bfc3194f,4197,955,5152,0.00062955,0.0005729999999999999,0.00120255,regular
02cd1061-eaad-0cdd-191f-5f03592e4442,13104,3078,16182,0.0019655999999999996,0.0018468,0.0038123999999999996,regular
02d0c54c-8ba2-b7a8-c907-44f385d21df2,4226,848,5074,0.0006339,0.0005088,0.0011427,regular
02e21285-0787-5bf1-29be-86e5bf2ad4ce,4169,1350,5519,0.00062535,0.0008100000000000001,0.0014353500000000002,regular
038548e6-9c0c-76f5-6de0-e2cac5b96366,4205,1041,5246,0.00063075,0.0006246,0.0012553500000000001,regular
03cc80a6-a1b2-2eaa-a6ff-898a735486d3,8760,1910,10670,0.001314,0.0011459999999999999,0.00246,regular
03de0a10-b3df-0237-a7a5-852ae5a23caf,8181,1409,9590,0.00122715,0.0008454000000000001,0.0020725500000000003,regular
0414da66-f466-3b00-8b0b-1bbebe08a2ca,8631,1860,10491,0.0012946499999999998,0.001116,0.00241065,regular
04556e68-aaa3-a782-e9dc-221d069b3c90,3985,1065,5050,0.00059775,0.0006389999999999999,0.00123675,regular
04644147-aac4-2166-b8e1-29587682fc64,8187,1994,10181,0.0012280499999999998,0.0011964,0.00242445,regular
