file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,9424,696,10120,0.018848,0.005568,0.024416,regular
00265021-2808-3df0-d2f8-beb1ed0a1f60,4444,640,5084,0.008888,0.00512,0.014008,regular
0034c25a-83aa-3fea-9996-6ddabb7e262d,4389,501,4890,0.008778,0.004008,0.012785999999999999,regular
00522cbc-33d7-7a65-a2e3-7c919b45266a,4539,478,5017,0.009078,0.003824,0.012902,regular
007f6e1d-cd69-45f7-724c-c3aac0443c6f,4434,654,5088,0.008868,0.005232,0.014099999999999998,regular
01106555-3417-b4e5-d829-980b957baa25,3994,477,4471,0.007988,0.003816,0.011804,regular
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,4228,417,4645,0.008456,0.003336,0.011792,regular
0152dfec-aaad-19aa-805c-537750ee0e61,9084,616,9700,0.018168,0.004928,0.023096,regular
015715ac-bdac-be5e-87fa-deea8613adad,4667,711,5378,0.009334,0.005688,0.015022,regular
015751f2-add7-cc5c-49e6-32fb75075388,4452,457,4909,0.008904,0.003656,0.01256,regular
016171e8-feb5-6feb-7de9-113b42fd8059,3868,424,4292,0.007736,0.003392,0.011127999999999999,regular
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,4158,467,4625,0.008316,0.003736,0.012052,regular
017e1a20-de40-e827-9aa8-317fada56bf5,4472,627,5099,0.008944,0.005016,0.01396,regular
018c735b-278a-7f93-7778-c90859b2b10d,4230,477,4707,0.00846,0.003816,0.012276,regular
018e29cd-2942-8472-37a7-a1a5b7d1c009,3989,465,4454,0.007978,0.00372,0.011698,regular
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,3899,430,4329,0.007798,0.00344,0.011238,regular
019c6ed6-05b2-b831-a98b-de1379260fc4,4246,501,4747,0.008492,0.004008,0.0125,regular
01c660b6-378f-2f00-bdd3-97ac200c19e1,4611,588,5199,0.009222,0.004704,0.013926,regular
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,4323,450,4773,0.008646,0.0036,0.012246,regular
01e8b747-4832-fc9a-9859-46162eb14ecc,4319,493,4812,0.008638,0.003944,0.012582,regular
01f84c6c-f978-eb52-6e97-052a5227e394,4482,449,4931,0.008964,0.003592,0.012556,regular
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,4793,488,5281,0.009586,0.003904,0.01349,regular
021cde41-0a9e-2efb-2704-b1d077d9d7cc,4762,457,5219,0.009524,0.003656,0.013179999999999999,regular
0249e048-a83d-c30b-358f-6f90ea73f7e6,4170,447,4617,0.00834,0.003576,0.011916,regular
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,4785,502,5287,0.00957,0.004016,0.013586,regular
02ca2334-e1ac-7278-c624-1dd7bfc3194f,4149,456,4605,0.008298,0.003648,0.011946,regular
02cd1061-eaad-0cdd-191f-5f03592e4442,4307,568,4875,0.008614,0.004544,0.013158,regular
02d0c54c-8ba2-b7a8-c907-44f385d21df2,4103,437,4540,0.008206,0.003496,0.011702,regular
02e21285-0787-5bf1-29be-86e5bf2ad4ce,4144,464,4608,0.008288,0.003712,0.012,regular
02e3cde9-6885-6c80-2aac-028c785a12fe,4720,436,5156,0.00944,0.003488,0.012928,regular
02ee1567-eb43-daae-dc2f-74f3daf2f721,4935,535,5470,0.00987,0.00428,0.01415,regular
038548e6-9c0c-76f5-6de0-e2cac5b96366,4153,446,4599,0.008306,0.003568,0.011874,regular
03cc80a6-a1b2-2eaa-a6ff-898a735486d3,4386,444,4830,0.008772,0.003552,0.012324,regular
03d33abb-a028-b6c4-a29d-e9c59b6718c5,9749,1380,11129,0.019498,0.01104,0.030538000000000003,regular
03de0a10-b3df-0237-a7a5-852ae5a23caf,3967,443,4410,0.007934,0.003544,0.011478,regular
0414da66-f466-3b00-8b0b-1bbebe08a2ca,4294,444,4738,0.008588,0.003552,0.01214,regular
04556e68-aaa3-a782-e9dc-221d069b3c90,8599,704,9303,0.017198,0.005632,0.022830000000000003,regular
04644147-aac4-2166-b8e1-29587682fc64,4001,492,4493,0.008002,0.003936,0.011938,regular
046fcd1c-4cca-a5b8-bddc-3ed2636e9d3f,4354,503,4857,0.008708,0.004024,0.012732,regular
0489c074-2508-fbe1-cf92-e212ab4a67b5,4233,456,4689,0.008466,0.003648,0.012114,regular
04b71f88-3312-72db-5029-1d159876130d,4351,474,4825,0.008702,0.003792,0.012494,regular
04bab739-5cff-b2cc-9de6-f0acbd0625a3,4003,458,4461,0.008006,0.003664,0.01167,regular
04efa3fb-0160-33c9-9968-af7e1145131f,3863,488,4351,0.007726,0.003904,0.01163,regular
0562f566-392d-7e87-941d-1e697b02d209,4193,463,4656,0.008386,0.003704,0.01209,regular
05685b16-5165-9f26-8495-84622cbf011c,4185,453,4638,0.00837,0.003624,0.011994000000000001,regular
05737984-7efc-9081-6f44-f331997f514b,4174,603,4777,0.008348,0.004824,0.013172,regular
057609a1-5593-cf51-2994-4586c346fc02,4466,746,5212,0.008932,0.005968,0.0149,regular
059835b6-f89c-9cd8-6204-74e968d2f45e,4074,401,4475,0.008148,0.003208,0.011356000000000002,regular
05df9eb7-cfa3-8dfe-a526-68756db0226e,4413,481,4894,0.008826,0.003848,0.012674000000000001,regular
05eeae35-0bd7-1ae7-a020-68b4432d4637,4481,414,4895,0.008962,0.003312,0.012274,regular
05fff514-3efd-ecc4-6316-3315414f41b9,3882,460,4342,0.007764,0.00368,0.011444,regular
06172016-fa4a-c28c-88a4-97df5ab6ffc0,4278,653,4931,0.008556,0.005224,0.01378,regular
063900c0-7a48-ff52-820c-54b43b504312,4310,452,4762,0.00862,0.003616,0.012235999999999999,regular
06c563d8-6e65-b3d6-f890-07cc4f75391f,3755,438,4193,0.00751,0.003504,0.011014,regular
06c6be24-b293-385d-543d-8a73e9c089fc,4245,386,4631,0.00849,0.003088,0.011578,regular
06c7c883-cf6f-db2b-fc43-72fd2dfc0720,4062,590,4652,0.008124,0.00472,0.012844,regular
06e09a2e-ce7b-8cf0-d43f-5aa92fa63e6b,4479,476,4955,0.008958,0.003808,0.012766000000000001,regular
06ea48c3-757e-c7dc-fc4e-eacccf5b878e,8960,557,9517,0.01792,0.004456,0.022376,regular
06f36759-d8b9-1f62-1b78-b4376895cac9,4405,449,4854,0.00881,0.003592,0.012402,regular
06fa8fc6-acf1-1fa2-1c20-781dde5f268f,4534,578,5112,0.009068,0.004624,0.013692,regular
