file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,9424,696,10120,0.009424,0.002784,0.012208,discount
00265021-2808-3df0-d2f8-beb1ed0a1f60,4444,640,5084,0.004444,0.00256,0.007004,discount
0034c25a-83aa-3fea-9996-6ddabb7e262d,4389,501,4890,0.004389,0.002004,0.006392999999999999,discount
00522cbc-33d7-7a65-a2e3-7c919b45266a,4539,478,5017,0.004539,0.001912,0.006451,discount
007f6e1d-cd69-45f7-724c-c3aac0443c6f,4434,654,5088,0.004434,0.002616,0.007049999999999999,discount
01106555-3417-b4e5-d829-980b957baa25,3994,477,4471,0.003994,0.001908,0.005902,discount
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,4228,417,4645,0.004228,0.001668,0.005896,discount
0152dfec-aaad-19aa-805c-537750ee0e61,9084,616,9700,0.009084,0.002464,0.011548,discount
015715ac-bdac-be5e-87fa-deea8613adad,4667,711,5378,0.004667,0.002844,0.007511,discount
015751f2-add7-cc5c-49e6-32fb75075388,4452,457,4909,0.004452,0.001828,0.00628,discount
016171e8-feb5-6feb-7de9-113b42fd8059,3868,424,4292,0.003868,0.001696,0.0055639999999999995,discount
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,4158,467,4625,0.004158,0.001868,0.006026,discount
017e1a20-de40-e827-9aa8-317fada56bf5,4472,627,5099,0.004472,0.002508,0.00698,discount
018c735b-278a-7f93-7778-c90859b2b10d,4230,477,4707,0.00423,0.001908,0.006138,discount
018e29cd-2942-8472-37a7-a1a5b7d1c009,3989,465,4454,0.003989,0.00186,0.005849,discount
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,3899,430,4329,0.003899,0.00172,0.005619,discount
019c6ed6-05b2-b831-a98b-de1379260fc4,4246,501,4747,0.004246,0.002004,0.00625,discount
01c660b6-378f-2f00-bdd3-97ac200c19e1,4611,588,5199,0.004611,0.002352,0.006963,discount
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,4323,450,4773,0.004323,0.0018,0.006123,discount
01e8b747-4832-fc9a-9859-46162eb14ecc,4319,493,4812,0.004319,0.001972,0.006291,discount
01f84c6c-f978-eb52-6e97-052a5227e394,4482,449,4931,0.004482,0.001796,0.006278,discount
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,4793,488,5281,0.004793,0.001952,0.006745,discount
021cde41-0a9e-2efb-2704-b1d077d9d7cc,4762,457,5219,0.004762,0.001828,0.0065899999999999995,discount
0249e048-a83d-c30b-358f-6f90ea73f7e6,4170,447,4617,0.00417,0.001788,0.005958,discount
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,4785,502,5287,0.004785,0.002008,0.006793,discount
02ca2334-e1ac-7278-c624-1dd7bfc3194f,4149,456,4605,0.004149,0.001824,0.005973,discount
02cd1061-eaad-0cdd-191f-5f03592e4442,4307,568,4875,0.004307,0.002272,0.006579,discount
02d0c54c-8ba2-b7a8-c907-44f385d21df2,4103,437,4540,0.004103,0.001748,0.005851,discount
02e21285-0787-5bf1-29be-86e5bf2ad4ce,4144,464,4608,0.004144,0.001856,0.006,discount
02e3cde9-6885-6c80-2aac-028c785a12fe,4720,436,5156,0.00472,0.001744,0.006464,discount
