file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost,pricing_type
0016a4aa-8af7-88a0-f219-85cfb882b306,4455,421,4876,0.00556875,0.002105,0.00767375,discount
00265021-2808-3df0-d2f8-beb1ed0a1f60,4455,413,4868,0.00556875,0.002065,0.00763375,discount
0034c25a-83aa-3fea-9996-6ddabb7e262d,4389,425,4814,0.00548625,0.0021249999999999997,0.00761125,discount
00522cbc-33d7-7a65-a2e3-7c919b45266a,4539,472,5011,0.00567375,0.00236,0.00803375,discount
007f6e1d-cd69-45f7-724c-c3aac0443c6f,4434,578,5012,0.0055425,0.0028899999999999998,0.008432499999999999,discount
01106555-3417-b4e5-d829-980b957baa25,3991,475,4466,0.00498875,0.002375,0.0073637500000000005,discount
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,4228,408,4636,0.005285,0.00204,0.007325,discount
0152dfec-aaad-19aa-805c-537750ee0e61,4225,431,4656,0.0052812499999999995,0.0021550000000000002,0.00743625,discount
015715ac-bdac-be5e-87fa-deea8613adad,9685,664,10349,0.012106249999999999,0.00332,0.015426249999999999,discount
015751f2-add7-cc5c-49e6-32fb75075388,4457,430,4887,0.00557125,0.00215,0.00772125,discount
016171e8-feb5-6feb-7de9-113b42fd8059,3865,426,4291,0.00483125,0.00213,0.0069612499999999996,discount
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,4158,416,4574,0.005197500000000001,0.00208,0.007277500000000001,discount
017e1a20-de40-e827-9aa8-317fada56bf5,4472,590,5062,0.00559,0.0029500000000000004,0.00854,discount
018c735b-278a-7f93-7778-c90859b2b10d,4227,448,4675,0.00528375,0.00224,0.00752375,discount
018e29cd-2942-8472-37a7-a1a5b7d1c009,3989,431,4420,0.00498625,0.0021550000000000002,0.00714125,discount
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,3904,405,4309,0.00488,0.002025,0.006905,discount
019c6ed6-05b2-b831-a98b-de1379260fc4,4246,410,4656,0.0053075,0.0020499999999999997,0.0073574999999999995,discount
01c660b6-378f-2f00-bdd3-97ac200c19e1,4617,497,5114,0.0057712499999999995,0.0024850000000000002,0.00825625,discount
01d6eb09-3d1d-bb27-6d48-94f1c4f46f6d,4312,384,4696,0.00539,0.00192,0.00731,discount
01e8b747-4832-fc9a-9859-46162eb14ecc,4319,403,4722,0.00539875,0.002015,0.00741375,discount
01f84c6c-f978-eb52-6e97-052a5227e394,4479,426,4905,0.00559875,0.00213,0.00772875,discount
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,4793,465,5258,0.00599125,0.0023250000000000002,0.00831625,discount
021cde41-0a9e-2efb-2704-b1d077d9d7cc,4762,398,5160,0.0059524999999999995,0.00199,0.0079425,discount
0249e048-a83d-c30b-358f-6f90ea73f7e6,4170,400,4570,0.0052125,0.002,0.0072125,discount
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,4785,403,5188,0.0059812500000000005,0.002015,0.00799625,discount
02ca2334-e1ac-7278-c624-1dd7bfc3194f,4149,459,4608,0.00518625,0.002295,0.00748125,discount
02cd1061-eaad-0cdd-191f-5f03592e4442,4258,458,4716,0.005322499999999999,0.00229,0.0076124999999999995,discount
02d0c54c-8ba2-b7a8-c907-44f385d21df2,4100,421,4521,0.005125,0.002105,0.00723,discount
02e21285-0787-5bf1-29be-86e5bf2ad4ce,4141,409,4550,0.005176249999999999,0.002045,0.007221249999999999,discount
02e3cde9-6885-6c80-2aac-028c785a12fe,4800,527,5327,0.005999999999999999,0.002635,0.008635,discount
02ee1567-eb43-daae-dc2f-74f3daf2f721,4935,505,5440,0.006168750000000001,0.0025250000000000003,0.00869375,discount
