file,prompt_tokens,completion_tokens,total_tokens,input_cost,output_cost,total_cost
0034c25a-83aa-3fea-9996-6ddabb7e262d,7809,435,8244,0.0023427,0.0002175,0.0025602
00522cbc-33d7-7a65-a2e3-7c919b45266a,15749,554,16303,0.004724699999999999,0.000277,0.0050016999999999995
01106555-3417-b4e5-d829-980b957baa25,7278,438,7716,0.0021834,0.000219,0.0024024
011a2f5d-5a8e-fae1-5eb7-c30b9b9f3f08,15255,547,15802,0.0045765,0.0002735,0.00485
0152dfec-aaad-19aa-805c-537750ee0e61,7622,400,8022,0.0022866,0.0002,0.0024866000000000003
015751f2-add7-cc5c-49e6-32fb75075388,7793,504,8297,0.0023379,0.000252,0.0025899
016fad8f-e9a6-5cd7-3d5e-f6891999ec55,7551,685,8236,0.0022653,0.0003425,0.0026078
018c735b-278a-7f93-7778-c90859b2b10d,18123,936,19059,0.0054369,0.000468,0.005904899999999999
018e29cd-2942-8472-37a7-a1a5b7d1c009,14771,538,15309,0.0044313,0.000269,0.0047003
01973a1d-a0bb-6d5b-758c-60bb58f6fe94,7152,436,7588,0.0021456,0.000218,0.0023636
019c6ed6-05b2-b831-a98b-de1379260fc4,3976,509,4485,0.0011928000000000002,0.0002545,0.0014473
01c660b6-378f-2f00-bdd3-97ac200c19e1,15763,608,16371,0.004728899999999999,0.000304,0.0050329
01e8b747-4832-fc9a-9859-46162eb14ecc,15353,498,15851,0.0046059,0.000249,0.0048549
01f84c6c-f978-eb52-6e97-052a5227e394,15617,590,16207,0.0046851,0.000295,0.0049801
021509d6-a57d-7aa6-7e7f-ff9ccf8336bf,8335,424,8759,0.0025005,0.000212,0.0027125
021cde41-0a9e-2efb-2704-b1d077d9d7cc,8305,422,8727,0.0024915,0.000211,0.0027024999999999996
0249e048-a83d-c30b-358f-6f90ea73f7e6,7480,424,7904,0.002244,0.000212,0.002456
028bffa2-3b89-2a3a-ee4f-5f88ed4fa6d3,8373,412,8785,0.0025119,0.000206,0.0027179
02ca2334-e1ac-7278-c624-1dd7bfc3194f,7522,586,8108,0.0022566,0.000293,0.0025496
02d0c54c-8ba2-b7a8-c907-44f385d21df2,7481,603,8084,0.0022443,0.0003015,0.0025458
02e21285-0787-5bf1-29be-86e5bf2ad4ce,7488,443,7931,0.0022464,0.0002215,0.0024679
02ee1567-eb43-daae-dc2f-74f3daf2f721,16367,406,16773,0.0049101,0.000203,0.0051131
038548e6-9c0c-76f5-6de0-e2cac5b96366,15161,641,15802,0.0045483,0.0003205,0.0048687999999999995
03cc80a6-a1b2-2eaa-a6ff-898a735486d3,15535,770,16305,0.0046605,0.000385,0.0050455
03de0a10-b3df-0237-a7a5-852ae5a23caf,7261,449,7710,0.0021782999999999998,0.0002245,0.0024027999999999996
0414da66-f466-3b00-8b0b-1bbebe08a2ca,7728,461,8189,0.0023184,0.0002305,0.0025488999999999998
04556e68-aaa3-a782-e9dc-221d069b3c90,7176,531,7707,0.0021528,0.0002655,0.0024183
04644147-aac4-2166-b8e1-29587682fc64,17573,869,18442,0.0052718999999999995,0.0004345,0.0057063999999999995
046fcd1c-4cca-a5b8-bddc-3ed2636e9d3f,7813,589,8402,0.0023439,0.0002945,0.0026384
0489c074-2508-fbe1-cf92-e212ab4a67b5,7638,647,8285,0.0022914,0.0003235,0.0026149
04bab739-5cff-b2cc-9de6-f0acbd0625a3,7302,398,7700,0.0021906,0.000199,0.0023896
04efa3fb-0160-33c9-9968-af7e1145131f,7129,378,7507,0.0021387,0.000189,0.0023277
0562f566-392d-7e87-941d-1e697b02d209,7590,410,8000,0.002277,0.000205,0.002482
059835b6-f89c-9cd8-6204-74e968d2f45e,7389,383,7772,0.0022167,0.0001915,0.0024081999999999997
05df9eb7-cfa3-8dfe-a526-68756db0226e,11803,432,12235,0.0035408999999999996,0.000216,0.0037568999999999996
05eeae35-0bd7-1ae7-a020-68b4432d4637,7970,613,8583,0.002391,0.0003065,0.0026975
05fff514-3efd-ecc4-6316-3315414f41b9,14587,537,15124,0.0043761,0.0002685,0.0046446
06c563d8-6e65-b3d6-f890-07cc4f75391f,6965,430,7395,0.0020894999999999998,0.000215,0.0023044999999999997
06c6be24-b293-385d-543d-8a73e9c089fc,7674,493,8167,0.0023022,0.0002465,0.0025487
06ea48c3-757e-c7dc-fc4e-eacccf5b878e,7546,469,8015,0.0022638,0.0002345,0.0024982999999999997
06f36759-d8b9-1f62-1b78-b4376895cac9,7758,497,8255,0.0023274,0.0002485,0.0025759
071e6318-889d-fdcf-b349-80021928afa6,10409,410,10819,0.0031227,0.000205,0.0033277
074473f6-69a1-a9ce-1c79-2ac4bb473a53,14951,594,15545,0.0044853,0.000297,0.004782300000000001
078991a8-ba2d-9a9d-92a4-b8b661325faa,15457,477,15934,0.0046371,0.0002385,0.0048756
078ae2fe-4054-59f3-0659-c1069d0cf42d,7299,411,7710,0.0021896999999999997,0.0002055,0.0023951999999999997
07bfabd0-0456-c430-631d-d2b51a307422,7902,525,8427,0.0023705999999999996,0.0002625,0.0026330999999999998
086ddc3c-6c51-1991-d073-5bceb0979a13,7152,385,7537,0.0021456,0.0001925,0.0023381
08bd73fa-5739-1d34-bc75-142adaa418d9,15377,466,15843,0.0046131,0.000233,0.0048461
08c2002e-eb61-51af-d2a5-63a952b97b0b,15515,430,15945,0.0046545,0.000215,0.0048695
08ca48fc-075c-cef4-71c5-a49f851d2752,10659,545,11204,0.0031977,0.0002725,0.0034702
08e3367d-e9d2-bf0d-1f1f-71f7f44d79ee,7744,372,8116,0.0023232,0.000186,0.0025092
08eaa428-f19b-34df-9368-48105505b506,4158,444,4602,0.0012474,0.000222,0.0014694
08eb0bec-0038-762f-5ac0-3ce4959a5b20,7291,397,7688,0.0021872999999999997,0.0001985,0.0023857999999999996
091d1c02-eb4f-5f67-9ea9-13eb29094c55,3643,455,4098,0.0010929,0.0002275,0.0013204
0931e798-9495-a2df-077b-c1588fcf31f1,7293,544,7837,0.0021879,0.000272,0.0024599
09b07710-7d5b-b43d-25b8-ccf014289997,15273,644,15917,0.0045819,0.000322,0.0049039
09c8c575-c260-6c00-38b1-69596e508077,7632,633,8265,0.0022895999999999997,0.0003165,0.0026060999999999996
09de6fc7-792a-75a3-64b9-3a6618f52642,7620,498,8118,0.002286,0.000249,0.002535
0a02c5d8-4823-0951-d272-d4491eff1017,21341,722,22063,0.0064023,0.000361,0.0067633
0a1b02d2-cd68-4275-384b-dcda7e2fbbc7,7632,560,8192,0.0022895999999999997,0.00028,0.0025695999999999996
0a9b3ce5-3eb9-ba73-86db-5f36e54237b2,7707,553,8260,0.0023121,0.0002765,0.0025886
0abd3af6-caf1-3ad9-e797-c1479bef8baf,7548,705,8253,0.0022643999999999997,0.0003525,0.0026168999999999997
0ac26592-d9cc-07c8-5156-b9226aa276f1,7530,420,7950,0.002259,0.00021,0.0024690000000000003
0ac99803-4b78-2606-314d-a8b072ca8ca2,7600,572,8172,0.00228,0.000286,0.0025659999999999997
0ad176cc-622a-e052-d681-f8eafc4aa084,14861,437,15298,0.004458299999999999,0.0002185,0.004676799999999999
0b070c8b-b691-bca4-eeb3-775095cc5c1a,7380,550,7930,0.002214,0.000275,0.002489
0b22606e-4649-6ae1-1bdc-4591d2c14a3e,7344,490,7834,0.0022031999999999998,0.000245,0.0024481999999999998
0b89d282-04f6-5773-c987-0dde363e6740,14713,584,15297,0.0044139,0.000292,0.0047059
0ba42f10-f200-f8f3-67bb-87a07bffd958,15517,485,16002,0.0046551,0.0002425,0.004897599999999999
0be040a8-68d6-6c9a-9188-43835fd45bbf,8503,597,9100,0.0025509,0.0002985,0.0028494
0be44bb8-7668-d0af-d3a1-a94043a12cb2,7677,403,8080,0.0023030999999999998,0.0002015,0.0025045999999999996
0c06b4a9-5780-61f0-5428-d08b091dd30b,7678,521,8199,0.0023033999999999997,0.0002605,0.0025638999999999996
0c0b6146-549d-c911-7326-ec5cbc344243,7392,595,7987,0.0022176,0.0002975,0.0025151
0c256864-c623-18de-4e36-2a3a101bfe52,7841,622,8463,0.0023523000000000003,0.000311,0.0026633000000000004
0c3a7a2c-18ba-3876-8ee6-6c193697c97f,7893,455,8348,0.0023679,0.0002275,0.0025954
0c4d7bbe-e927-ec2e-c209-36f1762e8daf,14703,692,15395,0.0044109,0.000346,0.0047569
0c91c803-85e7-4cd7-fe28-93d777c33828,7680,422,8102,0.002304,0.000211,0.002515
0cb0b4cf-872f-8286-5d1b-fe2ce5593e87,7713,560,8273,0.0023139,0.00028,0.0025938999999999997
